Variant_ID	Baseline_STAAR_O_pval	LOO_STAAR_O_pval	Delta_log10p	Position
var1	0.00543151758899607	0.107018464510433	-1.29453752521202	1
var2	0.00543151758899607	0.00520296852292501	0.0186699917635944	2
var3	0.00543151758899607	0.00464721880207186	0.067728069686372	3
var4	0.00543151758899607	0.00543151758899607	0	4
var5	0.00543151758899607	0.00864702433852393	-0.201945491113391	5
var6	0.00543151758899607	0.00452793563591936	0.0790209454814677	6
var7	0.00543151758899607	0.00543151758899607	0	7
var8	0.00543151758899607	0.00543151758899607	0	8
var9	0.00543151758899607	0.00464370840220907	0.0680562494963546	9
var10	0.00543151758899607	0.00581546939289168	-0.029663584095375	10
var11	0.00543151758899607	0.00543151758899607	0	11
var12	0.00543151758899607	0.00543151758899607	0	12
var13	0.00543151758899607	0.005243088814473	0.0153339758211386	13
var14	0.00543151758899607	0.00543151758899607	0	14
var15	0.00543151758899607	0.00543151758899607	0	15
var16	0.00543151758899607	0.00543151758899607	0	16
var17	0.00543151758899607	0.00510086240563779	0.0272775815449622	17
var18	0.00543151758899607	0.00543151758899607	0	18
var19	0.00543151758899607	0.00543151758899607	0	19
var20	0.00543151758899607	0.00543151758899607	0	20
var21	0.00543151758899607	0.00633299314817815	-0.0666878278938374	21
var22	0.00543151758899607	0.00543151758899607	0	22
var23	0.00543151758899607	0.00543151758899607	0	23
var24	0.00543151758899607	0.00543151758899607	0	24
var25	0.00543151758899607	0.00464199429161338	0.0682165882033066	25
var26	0.00543151758899607	0.00828146491221438	-0.183185975875167	26
var27	0.00543151758899607	0.0053046685455248	0.0102629374318086	27
var28	0.00543151758899607	0.00543151758899607	0	28
var29	0.00543151758899607	0.00543151758899607	0	29
var30	0.00543151758899607	0.00543151758899607	0	30
var31	0.00543151758899607	0.00543151758899607	0	31
var32	0.00543151758899607	0.00543151758899607	0	32
var33	0.00543151758899607	0.00543151758899607	0	33
var34	0.00543151758899607	0.00543151758899607	0	34
var35	0.00543151758899607	0.00543151758899607	0	35
var36	0.00543151758899607	0.00543151758899607	0	36
var37	0.00543151758899607	0.00956654753631203	-0.245834043603543	37
var38	0.00543151758899607	0.00543151758899607	0	38
var39	0.00543151758899607	0.00494901074744303	0.0404027933186906	39
var40	0.00543151758899607	0.0047191596662961	0.061056518910009	40
var41	0.00543151758899607	0.00543151758899607	0	41
var42	0.00543151758899607	0.00543151758899607	0	42
var43	0.00543151758899607	0.00543151758899607	0	43
